,City,Latitude,Longitude,Humidity,Max Temp,Cloudiness,Wind Speed,Date,Country
0,pringsewu,-5.36,104.98,66.0,82.44,36,4.29,1534988837.0,ID
1,cape town,-33.93,18.42,87.0,51.8,90,9.17,1534986000.0,ZA
2,punta arenas,-53.16,-70.91,100.0,39.2,90,14.99,1534986000.0,CL
3,busselton,-33.64,115.35,100.0,58.77,64,4.97,1534988655.0,AU
7,nadym,65.53,72.51,67.0,60.93,0,10.22,1534988840.0,RU
8,mayo,63.59,-135.9,81.0,53.6,75,4.7,1534986000.0,CA
9,vaini,-21.2,-175.2,94.0,75.2,90,9.17,1534988700.0,TO
10,ushuaia,-54.81,-68.31,80.0,41.0,90,8.05,1534986000.0,AR
11,rikitea,-23.12,-134.97,100.0,68.94,76,22.97,1534988842.0,PF
12,kapaa,22.08,-159.32,69.0,87.98,40,21.92,1534985760.0,US
13,tekirdag,40.98,27.51,88.0,68.0,0,11.41,1534987200.0,TR
14,cabo san lucas,22.89,-109.91,51.0,87.8,20,6.93,1534986060.0,MX
16,hovd,48.01,91.64,26.0,67.77,0,4.41,1534988844.0,MN
17,bredasdorp,-34.53,20.04,71.0,51.8,64,2.24,1534986000.0,ZA
18,ostrovnoy,68.05,39.51,94.0,45.27,44,13.91,1534988845.0,RU
19,tarbagatay,51.48,107.36,52.0,64.4,8,4.47,1534986000.0,RU
20,beringovskiy,63.05,179.32,97.0,51.48,68,18.61,1534988846.0,RU
21,tiksi,71.64,128.87,97.0,45.63,92,9.1,1534988846.0,RU
23,canton,40.8,-81.38,71.0,66.02,1,5.75,1534987020.0,US
25,kaitangata,-46.28,169.85,99.0,45.72,92,6.76,1534988848.0,NZ
27,barrow,39.51,-90.4,83.0,73.04,1,4.29,1534986900.0,US
28,georgetown,-7.93,-14.42,100.0,75.87,76,17.6,1534988849.0,SH
29,victoria,-4.62,55.45,88.0,77.0,40,11.41,1534986000.0,SC
30,bluff,-46.6,168.33,100.0,48.69,88,12.57,1534988850.0,NZ
32,asyut,27.18,31.19,66.0,73.71,0,7.2,1534988851.0,EG
33,albany,-35.02,117.88,79.0,56.88,76,6.64,1534988770.0,AU
34,saldanha,-33.01,17.94,98.0,53.91,92,2.73,1534988852.0,ZA
35,miles city,46.41,-105.84,47.0,80.96,1,4.7,1534985580.0,US
36,tuktoyaktuk,69.44,-133.03,70.0,42.8,75,11.41,1534986000.0,CA
37,eirunepe,-6.66,-69.87,91.0,70.02,0,2.06,1534988853.0,BR
38,kisangani,0.52,25.21,100.0,69.39,92,3.85,1534988854.0,CD
39,zhangye,38.94,100.46,59.0,73.53,68,4.18,1534988854.0,CN
40,new norfolk,-42.78,147.06,66.0,50.0,20,4.7,1534986000.0,AU
41,pevek,69.7,170.27,95.0,46.53,36,11.56,1534988855.0,RU
42,hermanus,-34.42,19.24,100.0,46.35,64,2.95,1534988856.0,ZA
43,mar del plata,-46.43,-67.52,47.0,52.2,0,17.49,1534988856.0,AR
44,thunder bay,48.41,-89.26,72.0,66.2,20,2.24,1534986000.0,CA
45,daru,-9.07,143.21,86.0,79.2,88,14.7,1534988857.0,PG
